userId,Movie_id,Movie_Title,Released_Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,
7456,7456,Chaman Bahaar,-2020,111 min,"Comedy, Drama",7,"5,866",Apurva Dhar Badgaiyann,Jitendra Kumar,Ritika Badiani,Bhuvan Arora,
7462,7462,Chamatkaar,-1978,,,,,Pramod Chakravorty,Rajesh Khanna,Parveen Babi,Ajit,
7463,7463,Chamatkar,-1992,171 min,"Comedy, Drama, Fantasy",6.6,"5,846",Rajiv Mehra,Naseeruddin Shah,Shah Rukh Khan,Urmila Matondkar,
7464,7464,Chambal Ka Badshah,-1986,130 min,Action,,,S. Dinesh,Danny Denzongpa,Roma Manik,Raj Kiran,
7465,7465,Chambal Ke Daku,-1982,,"Action, Thriller",5.8,5,Birbal,Ramesh Deo,Javed Khan,Madhu Malini,
7466,7466,Chambal Ke Kasam,-1999,,Action,,,Gulshan Grover,Shakti Kapoor,Kiran Kumar,Ranjeet,
7468,7468,Chambal Ki Kasam,-1980,,"Action, Crime",5.3,24,Ram Maheshwari,Pradeep Kumar,Raaj Kumar,Shatrughan Sinha,
7469,7469,Chambal Ki Rani,-1979,,"Action, Crime",8.6,5,Radhakant,Mahendra Sandhu,Bindu,Dara Singh,
7471,7471,Chamelee Memsaab,-1979,,Drama,,,Ajit Lahiri,Carol Evans Alter,Tom Alter,Mithun Chakraborty,
7476,7476,Chameleon,,90 min,Thriller,,,Mirzamlk,Mohib Beg Mirza,Ansh Beg Mirza,Mirzamlk,
7480,7480,Chameli,-2003,108 min,Drama,7,"2,108",Sudhir Mishra,Kareena Kapoor,Rahul Bose,Rinke Khanna,
